0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:27:06 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
127.0.0.1 - - [10/Jun/2018:14:27:18 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:27:18 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:27:18 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:27:18 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jun/2018:14:27:20 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - admin [10/Jun/2018:14:27:20 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - admin [10/Jun/2018:14:27:22 -0300] "GET /manager/text/undeploy?path=/ HTTP/1.1" 200 67
127.0.0.1 - admin [10/Jun/2018:14:27:31 -0300] "GET /manager/text/deploy?config=file%3A%2Ftmp%2Fcontext3822247971956581632.xml&path=/ HTTP/1.1" 200 68
127.0.0.1 - admin [10/Jun/2018:14:27:31 -0300] "GET /manager/text/start?path=/ HTTP/1.1" 200 67
127.0.0.1 - - [10/Jun/2018:14:27:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:27:51 -0300] "GET / HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:27:52 -0300] "GET /images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:27:53 -0300] "GET /otroIntento.html HTTP/1.1" 304 -
127.0.0.1 - - [10/Jun/2018:14:28:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:28:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:28:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jun/2018:14:28:46 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - - [10/Jun/2018:14:28:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:28:47 -0300] "GET / HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:28:48 -0300] "GET /images/background.jpg HTTP/1.1" 200 279127
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:28:48 -0300] "GET /otroIntento.html HTTP/1.1" 200 15187
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:28:50 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
127.0.0.1 - - [10/Jun/2018:14:29:09 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:29:09 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:29:10 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jun/2018:14:29:10 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - - [10/Jun/2018:14:29:10 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:10 -0300] "GET / HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:11 -0300] "GET /images/background.jpg HTTP/1.1" 200 279127
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:11 -0300] "GET /otroIntento.html HTTP/1.1" 200 15129
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:13 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:19 -0300] "GET /geoserver/wfs?service=WFS&version=1.1.0&request=GetFeature&outputFormat=application%2Fjson&typenames=capatsig%3Apois&featureNS=www.capatsig.uy&featureType=pois&srsname=EPSG%3A32721&geometryName=geometry&bound=567000%2C+6135000%2C+585000%2C+6145000 HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:21 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6137435.834541192%2C576606.2328629475%2C6147208.821538869 HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:22 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6137435.834541192%2C586379.2198606227%2C6147208.821538869 HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:22 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6127662.847543515%2C586379.2198606227%2C6137435.834541192 HTTP/1.1" 200 1843
